bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Ravindra Jadeja,9.0,1,33,5,3.66,37,5,0,0,0,India,37th-Match,1384428
Mohammed Shami,4.0,0,18,2,4.5,16,2,0,1,0,India,37th-Match,1384428
Kuldeep Yadav,5.1,1,7,2,1.35,24,0,0,0,0,India,37th-Match,1384428
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
David Willey,10.0,1,48,1,4.8,31,4,0,1,0,England,36th-Match,1384427
Chris Woakes,9.3,0,54,4,5.68,31,5,1,0,0,England,36th-Match,1384427
Mark Wood,10.0,0,70,2,7.0,27,9,0,3,0,England,36th-Match,1384427
Liam Livingstone,6.0,0,42,1,7.0,10,2,1,0,0,England,36th-Match,1384427
Moeen Ali,4.0,0,28,0,7.0,9,4,0,0,0,England,36th-Match,1384427
Adil Rashid,10.0,0,38,2,3.8,34,1,1,0,0,England,36th-Match,1384427
Mitchell Starc,10.0,0,66,2,6.6,29,7,1,4,0,Australia,36th-Match,1384427
Josh Hazlewood,9.1,1,49,2,5.34,34,6,1,2,0,Australia,36th-Match,1384427
Pat Cummins,10.0,1,49,2,4.9,32,5,1,0,0,Australia,36th-Match,1384427
Adam Zampa,10.0,0,21,3,2.1,41,0,0,2,0,Australia,36th-Match,1384427
Travis Head,5.0,0,28,0,5.6,12,0,2,0,0,Australia,36th-Match,1384427
Marcus Stoinis,4.0,0,34,1,8.5,8,4,1,0,0,Australia,36th-Match,1384427
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Shaheen Shah Afridi,10.0,0,90,0,9.0,24,11,2,5,0,Pakistan,35th-Match,1384426
Hasan Ali,10.0,0,82,1,8.2,26,10,2,2,1,Pakistan,35th-Match,1384426
Iftikhar Ahmed,8.0,0,55,1,6.87,20,8,0,0,0,Pakistan,35th-Match,1384426
Haris Rauf,10.0,0,85,1,8.5,24,11,2,2,0,Pakistan,35th-Match,1384426
Mohammad Wasim,10.0,0,60,3,6.0,28,4,1,3,0,Pakistan,35th-Match,1384426
Agha Salman,2.0,0,21,0,10.5,3,2,1,1,0,Pakistan,35th-Match,1384426
Trent Boult,6.0,0,50,0,8.33,20,7,2,2,0,New Zealand,35th-Match,1384426
Tim Southee,5.0,0,27,1,5.4,17,1,2,0,0,New Zealand,35th-Match,1384426
Mitchell Santner,5.0,0,35,0,7.0,13,1,3,0,0,New Zealand,35th-Match,1384426
Glenn Phillips,5.0,1,42,0,8.4,13,3,3,0,0,New Zealand,35th-Match,1384426
Ish Sodhi,4.0,0,44,0,11.0,6,3,3,1,0,New Zealand,35th-Match,1384426
Daryl Mitchell,0.3,0,1,0,2.0,2,0,0,0,0,New Zealand,35th-Match,1384426
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Mujeeb Ur Rahman,10.0,0,40,1,4.0,40,4,0,3,0,Afghanistan,34th-Match,1384425
Fazalhaq Farooqi,5.0,0,36,0,7.2,20,8,0,2,0,Afghanistan,34th-Match,1384425
Azmatullah Omarzai,3.0,0,11,0,3.66,10,1,0,0,0,Afghanistan,34th-Match,1384425
Mohammad Nabi,9.3,1,28,3,2.94,39,3,0,1,0,Afghanistan,34th-Match,1384425
Rashid Khan,10.0,0,31,0,3.1,35,0,0,3,0,Afghanistan,34th-Match,1384425
Noor Ahmad,9.0,0,31,2,3.44,36,3,0,3,0,Afghanistan,34th-Match,1384425
Aryan Dutt,8.3,0,49,0,5.76,25,6,0,3,0,Netherlands,34th-Match,1384425
Logan van Beek,7.0,0,30,1,4.28,26,3,0,2,0,Netherlands,34th-Match,1384425
Paul van Meekeren,5.0,0,35,0,7.0,15,6,0,1,1,Netherlands,34th-Match,1384425
Roelof van der Merwe,5.0,0,27,1,5.4,11,2,0,0,0,Netherlands,34th-Match,1384425
Saqib Zulfiqar,3.0,0,25,1,8.33,8,4,0,0,1,Netherlands,34th-Match,1384425
Colin Ackermann,3.0,0,12,0,4.0,8,0,0,1,0,Netherlands,34th-Match,1384425
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Dilshan Madushanka,10.0,0,80,5,8.0,25,8,2,6,0,Sri Lanka,33rd-Match,1384424
Dushmantha Chameera,10.0,2,71,1,7.1,28,8,2,0,0,Sri Lanka,33rd-Match,1384424
Kasun Rajitha,9.0,0,65,0,7.22,25,7,2,1,0,Sri Lanka,33rd-Match,1384424
Angelo Mathews,3.0,0,11,0,3.66,10,1,0,0,0,Sri Lanka,33rd-Match,1384424
Maheesh Theekshana,10.0,0,67,0,6.7,18,5,1,1,0,Sri Lanka,33rd-Match,1384424
Dushan Hemantha,8.0,0,52,0,6.5,17,2,2,0,1,Sri Lanka,33rd-Match,1384424
Jasprit Bumrah,5.0,1,8,1,1.6,26,0,0,3,0,India,33rd-Match,1384424
Mohammed Siraj,7.0,2,16,3,2.28,35,2,0,1,0,India,33rd-Match,1384424
Mohammed Shami,5.0,1,18,5,3.6,22,3,0,0,0,India,33rd-Match,1384424
Kuldeep Yadav,2.0,0,3,0,1.5,9,0,0,0,0,India,33rd-Match,1384424
Ravindra Jadeja,0.4,0,4,1,6.0,3,1,0,0,0,India,33rd-Match,1384424
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Trent Boult,10.0,1,49,1,4.9,35,5,1,2,0,New Zealand,32nd-Match,1384423
Matt Henry,5.3,0,31,0,5.63,20,4,1,1,0,New Zealand,32nd-Match,1384423
Tim Southee,10.0,0,77,2,7.7,19,6,3,1,0,New Zealand,32nd-Match,1384423
Mitchell Santner,10.0,0,58,0,5.8,18,2,1,2,0,New Zealand,32nd-Match,1384423
Glenn Phillips,7.0,0,52,0,7.42,15,2,3,2,0,New Zealand,32nd-Match,1384423
Rachin Ravindra,2.0,0,17,0,8.5,6,2,1,0,0,New Zealand,32nd-Match,1384423
James Neesham,5.3,0,69,1,12.54,7,5,5,0,0,New Zealand,32nd-Match,1384423
Marco Jansen,8.0,1,31,3,3.87,29,3,0,1,1,South Africa,32nd-Match,1384423
Lungi Ngidi,6.0,1,28,0,4.66,23,4,0,0,0,South Africa,32nd-Match,1384423
